"Year","c","MWh","unit","kwh_veh_total"
"2023","Belgium",7088.3234,96875,73.1697899354839
"2023","Bolivia",7.4407,112,66.4348214285714
"2023","Brazil",1146.5377,19438,58.9843450972322
"2023","Canada",10638.2256,143201,74.2887661399013
"2023","Chile",97.7102,1538,63.530689206762
"2023","China",326323.28178,5760512,56.6483121257277
"2023","Colombia",198.73316,3709,53.5813318953896
"2023","Czechia",562.8596,7888,71.3564401622718
"2023","Denmark",4817.1033,65556,73.480738605162
"2023","Eastern Europe/Central Asia",358.225,5352,66.9329222720478
"2023","Egypt",6.1011,83,73.5072289156627
"2023","Ethiopia",25.8342,481,53.7093555093555
"2023","Finland",2288.6161,31152,73.466104904982
"2023","France",18569.6837,336735,55.1462832791364
"2023","Germany",35760.33425,540177,66.2011419405121
"2023","Greece",481.9857,7232,66.6462527654867
"2023","Hungary",470.5459,6786,69.3406867079281
"2023","India",2823.4204,83086,33.9819030883663
"2023","Indonesia",951.5166,17116,55.5922294928722
"2023","Ireland",1684.8617,23820,70.7330688497061
"2023","Israel",3262.3465,48659,67.0450790192976
"2023","Italy",4352.3257,79159,54.9820702636466
"2023","Japan",4823.5587,92105,52.3702155149015
"2023","Kenya",3.0489,49,62.2224489795918
"2023","Malaysia",675.2101,9226,73.1855733795795
"2023","Mexico",1119.7109,15995,70.0038074398249
"2023","Morocco",25.899,795,32.577358490566
"2023","Netherlands",8339.1497,122743,67.939920810148
"2023","New Zealand",1444.6863,21313,67.7842772017079
"2023","Nigeria",42.682,650,65.6646153846154
"2023","Norway",8308.8479,112825,73.643677376468
"2023","Pakistan",0.6484,11,58.9454545454545
"2023","Peru",18.7707,281,66.7996441281139
"2023","Philippines",19.2778,298,64.6906040268456
"2023","Poland",1360.6403,19682,69.1312010974494
"2023","Portugal",2620.4384,39025,67.1476848174247
"2023","Rest of EU",1880.9173,28253,66.5740735497115
"2023","Rest of Middle East/Africa",465.465,6195,75.135593220339
"2023","Rest of South America",785.7808,11350,69.2317885462555
"2023","Rest of South Asia/Oceania",330.4151,5161,64.0215268358845
"2023","Romania",771.6465,15475,49.864071082391
"2023","Russia",102.0321,1915,53.2804699738903
"2023","Saudi Arabia",160.7158,1532,104.905874673629
"2023","Singapore",336.8557,4660,72.2866309012876
"2023","Slovakia",197.5152,2753,71.7454413367236
"2023","South Africa",63.6101,806,78.9207196029777
"2023","South Korea",11394.968,157873,72.1780671805818
"2023","Spain",3868.29546,60801,63.62223417378
"2023","Sweden",8771.4569,119844,73.1906219752345
"2023","Switzerland",4003.5,56853,70.4184475753258
"2023","Thailand",4332.7136,77109,56.1894668586028
"2023","Turkey",4650.0276,68797,67.5905577278079
"2023","United Arab Emirates",831.2072,10334,80.4342171472808
"2023","United Kingdom",23602.556,335273,70.3980219105028
"2023","United States",95192.2554,1158830,82.1451424281387
"2023","Uruguay",121.324,2080,58.3288461538462
"2023","Vietnam",1995.4126,31700,62.9467697160883
"2023","Western Europe non EU",764.4055,10544,72.4967279969651
"2024","Algeria",2.7708,36,76.9666666666667
"2024","Argentina",32.2778,722,44.7060941828255
"2024","Australia",6267.5754,91263,68.6759738338648
"2024","Austria",3435.9838,47795,71.8900261533633
"2024","Belgium",9711.1771,132567,73.2548605610748
"2024","Bolivia",8.0032,135,59.282962962963
"2024","Brazil",3093.1117,63907,48.4002018558217
"2024","Canada",15093.1208,188468,80.0832013922788
"2024","Chile",225.2039,3384,66.5496158392435
"2024","China",384497.91517,6728002,57.1489002485433
"2024","Colombia",612.31056,10847,56.4497612243016
"2024","Czechia",791.8758,11277,70.2204309656824
"2024","Denmark",6748.05,91602,73.6670596711862
"2024","Eastern Europe/Central Asia",1132.26,15509,73.0066413050487
"2024","Egypt",162.2178,2349,69.0582375478927
"2024","Ethiopia",29.7705,510,58.3735294117647
"2024","Finland",1692.2734,22834,74.1119996496453
"2024","France",19069.2302,329850,57.8118241624981
"2024","Germany",28325.47192,393114,72.0540909761545
"2024","Greece",641.3006,9896,64.8040218270008
"2024","Hungary",651.1391,9761,66.7082368609774
"2024","India",3261.5611,96649,33.7464546968929
